,准确率(Acc),精确率(Pre),召回率(Rec),F1值,AUC值
基准模型(LR),0.7281826036866359,0.7561843168957154,0.6735311059907834,0.7124685810038845,0.7915448236152551
随机森林(RF),0.7299827188940092,0.7702199661590524,0.6555299539170507,0.7082620196047923,0.8009255702964068
梯度提升树(GBDT),0.7324308755760369,0.7561904761904762,0.6860599078341014,0.719420114768952,0.8019347132225678
Stacking(本文方案),0.7325028801843319,0.7591908813613742,0.6810195852534562,0.7179837546496622,0.8020120372957326
